t,Cs,Cf,Ce,Cm
0,3.364744624,0,0,0
21.83148293,1.923616581,0.281315569,0.572284534,0.035641686
46.98768573,0.942813859,0.556455862,0.89029102,0.046089274
62.01682154,0.668463651,0.649857059,0.906113594,0.052773936
88.05023211,0.336739076,0.778932569,,0.059001359
