t,Cs,Cn
0,0.352961587,0.004818301
3.977955072,0.353199221,0.004811741
8.972734049,0.353059993,0.004157685
17.96537723,0.201589815,0.002148128
20.96252253,0.1572554,0.001793531
23.97433771,0.088530332,0.001926729
