t,Cs,Cf,Ce,Cm
0,3.206407667,0,0,0
8.16482,3.052432,0.074535862,0.022608261,0.01552209
24.07275,2.477591333,0.386001034,0.06936913,0.036975224
48.26555,1.891091667,0.672354138,0.087563043,0.073964776
69.18695,1.511385667,0.909673103,0.081164783,0.097265672
92.15253,1.248875,1.059515862,0.080825652,0.092772239
144.27053,0.836998333,1.321856552,0.071846087,0.104714627
